Bird,Day,Trial,Site,Time,EventType
darkblue15,31,2,15,840.202996507287,3
darkblue15,32,1,46,444.978998601437,3
darkblue15,32,1,45,445.486006513238,3
darkblue15,32,1,43,446.571003645658,3
darkblue15,32,1,35,447.130998596549,3
darkblue15,32,1,27,447.883006185293,3
darkblue15,32,1,20,448.478003963828,3
darkblue15,32,1,22,449.808000773191,3
darkblue15,32,1,13,451.802005246282,3
darkblue15,32,1,11,452.677005529404,3
darkblue15,32,1,10,455.405998975039,2
darkblue15,32,1,52,457.469999045134,1
darkblue15,32,1,39,458.694001659751,3
darkblue15,32,1,29,459.587006270885,3
darkblue15,32,1,21,460.268998146057,3
darkblue15,32,1,28,461.004007235169,3
darkblue15,32,1,27,461.56400218606,3
darkblue15,32,1,26,462.158004194498,3
darkblue15,32,1,44,464.065004512668,3
darkblue15,32,1,38,465.780002251267,3
darkblue15,32,1,13,467.319000139832,3
darkblue15,32,1,3,468.666005507112,3
darkblue15,32,1,10,469.085999205709,3
darkblue15,32,1,22,471.220004931092,3
darkblue15,32,1,30,471.884998306632,3
darkblue15,32,1,23,472.899999842048,3
darkblue15,32,1,7,473.739001527429,3
darkblue15,32,1,13,474.264003708959,3
darkblue15,32,1,3,475.279005244374,3
darkblue15,32,1,10,475.943998619914,3
darkblue15,32,1,9,476.52100212872,3
darkblue15,32,1,26,477.081007137895,3
darkblue15,32,1,36,478.445000946522,3
darkblue15,32,1,38,479.320001229644,3
darkblue15,32,1,46,479.774997755885,3
darkblue15,32,1,39,480.177007243037,3
darkblue15,32,1,29,481.27900287509,3
darkblue15,32,1,11,483.115997537971,3
darkblue15,32,1,18,484.481007233262,3
darkblue15,32,1,26,484.971006587148,3
darkblue15,32,1,37,486.545007303357,3
